plant_scientific_name,plant_common_name,plant_type,evidence_source,source_url_or_citation,audubon_attributes_original,audubon_attributes_normalized,resource_original,resource_normalized,resource_claim_type,direct_bird_interaction
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Tilia americana,American Basswood,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Callicarpa americana,American Beauty-Berry,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Ulmus americana,American Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Ilex opaca,American Holly,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Phytolacca americana,American Pokeweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-pokeweed?zipcode=78666,Fruit; Nuts,fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Phytolacca americana,American Pokeweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-pokeweed?zipcode=78666,Fruit; Nuts,fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Platanus occidentalis,American Sycamore,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-sycamore?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Platanus occidentalis,American Sycamore,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-sycamore?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Platanus occidentalis,American Sycamore,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-sycamore?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Platanus occidentalis,American Sycamore,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/american-sycamore?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Acer negundo,Ash-Leaf Maple,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/ash-leaf-maple?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Acer negundo,Ash-Leaf Maple,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/ash-leaf-maple?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Acer negundo,Ash-Leaf Maple,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/ash-leaf-maple?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Acer negundo,Ash-Leaf Maple,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/ash-leaf-maple?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Salvia azurea,Azure-Blue Sage,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/azure-blue-sage?zipcode=78666,Nectar,nectar,Nectar,nectar,plant-level Audubon attribute,False
Prunus serotina,Black Cherry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/black-cherry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Prunus serotina,Black Cherry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/black-cherry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Prunus serotina,Black Cherry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/black-cherry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Salix nigra,Black Willow,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/black-willow?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Butterflies,butterflies,plant-level Audubon attribute,False
Salix nigra,Black Willow,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/black-willow?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Caterpillars,caterpillars,plant-level Audubon attribute,False
Rudbeckia hirta,Black-Eyed-Susan,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/black-eyed-susan?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Butterflies,butterflies,plant-level Audubon attribute,False
Rudbeckia hirta,Black-Eyed-Susan,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/black-eyed-susan?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Caterpillars,caterpillars,plant-level Audubon attribute,False
Salvia coccinea,Blood Sage,"Annuals/Per., Shrubs",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/blood-sage?zipcode=78666,Nectar,nectar,Nectar,nectar,plant-level Audubon attribute,False
Quercus macrocarpa,Burr Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/burr-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Quercus macrocarpa,Burr Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/burr-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Quercus macrocarpa,Burr Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/burr-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Quercus macrocarpa,Burr Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/burr-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Asclepias tuberosa,Butterfly Milkweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/butterfly-milkweed?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Asclepias tuberosa,Butterfly Milkweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/butterfly-milkweed?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Asclepias tuberosa,Butterfly Milkweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/butterfly-milkweed?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Fruit,fruit,plant-level Audubon attribute,False
Asclepias tuberosa,Butterfly Milkweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/butterfly-milkweed?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Nectar,nectar,plant-level Audubon attribute,False
Asclepias tuberosa,Butterfly Milkweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/butterfly-milkweed?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Nuts,nuts,plant-level Audubon attribute,False
Lobelia cardinalis,Cardinal-Flower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/cardinal-flower?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Butterflies,butterflies,plant-level Audubon attribute,False
Lobelia cardinalis,Cardinal-Flower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/cardinal-flower?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Caterpillars,caterpillars,plant-level Audubon attribute,False
Lobelia cardinalis,Cardinal-Flower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/cardinal-flower?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Nectar,nectar,plant-level Audubon attribute,False
Ulmus crassifolia,Cedar Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/cedar-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Ulmus crassifolia,Cedar Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/cedar-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Ulmus crassifolia,Cedar Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/cedar-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Ulmus crassifolia,Cedar Elm,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/cedar-elm?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Cephalanthus occidentalis,Common Buttonbush,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-buttonbush?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Cephalanthus occidentalis,Common Buttonbush,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-buttonbush?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Cephalanthus occidentalis,Common Buttonbush,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-buttonbush?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Cephalanthus occidentalis,Common Buttonbush,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-buttonbush?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Helianthus annuus,Common Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Helianthus annuus,Common Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Helianthus annuus,Common Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Helianthus annuus,Common Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Achillea millefolium,Common Yarrow,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-yarrow?zipcode=78666,Fruit; Nuts,fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Achillea millefolium,Common Yarrow,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/common-yarrow?zipcode=78666,Fruit; Nuts,fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Ilex decidua,Deciduous Holly,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/deciduous-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
