plant_id,animal,common,group,rank,family,order,category,raw,part,stage,use,evidence,scope,weight,sources,citations,urls
BIRDPLT0001,Eremophila alpestris,Horned Lark,Birds,species,Alaudidae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: Texas | place: Northwestern Texas | season: summer | bird context: primary diet: Seed; habitat: Plains; nest site: ground; nest structure: primary cavity, secondary cavity",0.13,Bird_Diet_AvianDiet evidence table,"Wiens, J. A. and J. T. Rotenberry. 1979. Diet niche relationships among North American grassland and shrubsteppe birds. Oecologia 42:253-292.",
BIRDPLT0002,Calcarius ornatus,Chestnut-collared Longspur,Birds,species,Calcariidae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Montana;North Dakota;South Dakota;Wyoming;Texas;Kansas;Nebraska | place: multiple | season: multiple | bird context: primary diet: Seed; habitat: Grassland; nest site: ground; nest structure: cup,0.2,Bird_Diet_AvianDiet evidence table,"Gabrielson, I. N. 1924. Food habits of some winter bird visitants. U.S. Department of Agriculture Bulletin 1249.",
BIRDPLT0003,Calcarius ornatus,Chestnut-collared Longspur,Birds,species,Calcariidae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Montana;North Dakota;South Dakota;Wyoming;Texas;Kansas;Nebraska | place: multiple | season: multiple | bird context: primary diet: Seed; habitat: Grassland; nest site: ground; nest structure: cup,0.2,Bird_Diet_AvianDiet evidence table,"Gabrielson, I. N. 1924. Food habits of some winter bird visitants. U.S. Department of Agriculture Bulletin 1249.",
BIRDPLT0004,Calcarius ornatus,Chestnut-collared Longspur,Birds,species,Calcariidae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Montana;North Dakota;South Dakota;Wyoming;Texas;Kansas;Nebraska | place: multiple | season: multiple | bird context: primary diet: Seed; habitat: Grassland; nest site: ground; nest structure: cup,0.2,Bird_Diet_AvianDiet evidence table,"Gabrielson, I. N. 1924. Food habits of some winter bird visitants. U.S. Department of Agriculture Bulletin 1249.",
BIRDPLT0005,Calcarius ornatus,Chestnut-collared Longspur,Birds,species,Calcariidae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Montana;North Dakota;South Dakota;Wyoming;Texas;Kansas;Nebraska | place: multiple | season: multiple | bird context: primary diet: Seed; habitat: Grassland; nest site: ground; nest structure: cup,0.2,Bird_Diet_AvianDiet evidence table,"Gabrielson, I. N. 1924. Food habits of some winter bird visitants. U.S. Department of Agriculture Bulletin 1249.",
BIRDPLT0006,Calcarius ornatus,Chestnut-collared Longspur,Birds,species,Calcariidae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Montana;North Dakota;South Dakota;Wyoming;Texas;Kansas;Nebraska | place: multiple | season: multiple | bird context: primary diet: Seed; habitat: Grassland; nest site: ground; nest structure: cup,0.13,Bird_Diet_AvianDiet evidence table,"Gabrielson, I. N. 1924. Food habits of some winter bird visitants. U.S. Department of Agriculture Bulletin 1249.",
BIRDPLT0007,Passerina ciris,Painted Bunting,Birds,species,Cardinalidae,Passeriformes,Bird direct food,Avian Diet plant diet item,seed,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: Texas | place: multiple | season: summer | bird context: primary diet: Seed; habitat: Shrub; nest site: tree, non-tree vegetation; nest structure: cup",0.2,Bird_Diet_AvianDiet evidence table,"Beal, F. E. L., W. L. McAtee, and E. R. Kalmbach. 1916. Common birds of southeastern United States in relation to agriculture. USDA Farmers' Bulletin 755.",
BIRDPLT0008,Anser caerulescens,Snow Goose,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,vegetation,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: Texas | place: Garwood Prairie | season: winter | bird context: primary diet: Plant; habitat: Grassland; nest site: ground; nest structure: scrape, platform",0.13,Bird_Diet_AvianDiet evidence table,"Alisauskas, R.T., C.D. Ankney, and E.E. Klaas. 1988. Winter diets and nutrition of midcontinental lesser snow geese. Journal of Wildlife Management 52:403-414.",
BIRDPLT0008,Zenaida asiatica,White-winged Dove,Birds,species,Columbidae,Columbiformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas;Arizona;Mexico | place: multiple | season: winter | bird context: primary diet: Seed; habitat: Shrub; nest site: tree; nest structure: platform,0.13,Bird_Diet_AvianDiet evidence table,"Cottam, C. and J. B. Trefethen. 1968. White-wings: the life history, status, and management of the White-winged Dove. D. Van Nostrand Co., Inc. Princeton, NJ.",
BIRDPLT0009,Zenaida asiatica,White-winged Dove,Birds,species,Columbidae,Columbiformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas;Arizona;Mexico | place: multiple | season: winter | bird context: primary diet: Seed; habitat: Shrub; nest site: tree; nest structure: platform,0.2,Bird_Diet_AvianDiet evidence table,"Cottam, C. and J. B. Trefethen. 1968. White-wings: the life history, status, and management of the White-winged Dove. D. Van Nostrand Co., Inc. Princeton, NJ.",
BIRDPLT0010,Zenaida asiatica,White-winged Dove,Birds,species,Columbidae,Columbiformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas | place: Hidalgo Citrus | season: fall | bird context: primary diet: Seed; habitat: Shrub; nest site: tree; nest structure: platform,0.2,Bird_Diet_AvianDiet evidence table,"Dolton, D. D. 1975. Patterns and influencing factors of White-winged Dove feeding activity in the lower Rio Grande valley of Texas and Mexico. Master's Thesis. Texas A&M University College Station.",
BIRDPLT0011,Quiscalus mexicanus,Great-tailed Grackle,Birds,species,Icteridae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,B - regional/direct bird-plant evidence,local tier: B_explicit_county_within_150mi_approx | county: Brazos | region: Texas | place: Brazos County | season: multiple | bird context: primary diet: Invertebrate; habitat: Artificial; nest site: tree; nest structure: cup,0.552,Bird_Diet_AvianDiet evidence table,"Davis II, W. R. and K. A. Arnold. 1972. Food habits of the Great-tailed Grackle in Brazos County, Texas. Condor 74:439-446.",
BIRDPLT0012,Sturnus vulgaris,European Starling,Birds,species,Sturnidae,Passeriformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: Texas | place: Nacogdoches | season: multiple | bird context: primary diet: Omnivore; habitat: Artificial; nest site: ground, tree, cliff/bank, underground; nest structure: cup, primary cavity, secondary cavity",0.2,Bird_Diet_AvianDiet evidence table,"Russell, D. N. 1971. Food habits of the starling in eastern Texas. Condor 73:369-372.",
BIRDPLT0013,Sialia mexicana,Western Bluebird,Birds,species,Turdidae,Passeriformes,Bird direct food,Avian Diet plant diet item,fruit,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: California;Oregon;Texas;British Columbia | place: multiple | season: multiple | bird context: primary diet: Invertebrate; habitat: Woodland; nest site: tree; nest structure: primary cavity, secondary cavity",0.13,Bird_Diet_AvianDiet evidence table,"Beal, F. E. L. 1915. Food of the robins and bluebirds of the United States. Bulletin of the U.S. Department of Agriculture 171:1-31.",
BIRDPLT0014,Sialia mexicana,Western Bluebird,Birds,species,Turdidae,Passeriformes,Bird direct food,Avian Diet plant diet item,fruit,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: California;Oregon;Texas;British Columbia | place: multiple | season: multiple | bird context: primary diet: Invertebrate; habitat: Woodland; nest site: tree; nest structure: primary cavity, secondary cavity",0.2,Bird_Diet_AvianDiet evidence table,"Beal, F. E. L. 1915. Food of the robins and bluebirds of the United States. Bulletin of the U.S. Department of Agriculture 171:1-31.",
BIRDPLT0015,Sialia mexicana,Western Bluebird,Birds,species,Turdidae,Passeriformes,Bird direct food,Avian Diet plant diet item,fruit,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: California;Oregon;Texas;British Columbia | place: multiple | season: multiple | bird context: primary diet: Invertebrate; habitat: Woodland; nest site: tree; nest structure: primary cavity, secondary cavity",0.2,Bird_Diet_AvianDiet evidence table,"Beal, F. E. L. 1915. Food of the robins and bluebirds of the United States. Bulletin of the U.S. Department of Agriculture 171:1-31.",
BIRDPLT0016,Spatula clypeata,Northern Shoveler,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,vegetation,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas | season: multiple | bird context: primary diet: Invertebrate; habitat: Wetland; nest site: ground; nest structure: platform,0.13,Bird_Diet_AvianDiet evidence table,"Tietje, W.D. and J.G. Teer. 1996. Winter feeding ecology of northern shovelers on freshwater and saline wetlands in south Texas. Journal of Wildlife Management 60:843-855.",
BIRDPLT0016,Spatula clypeata,Northern Shoveler,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,seed,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas | season: multiple | bird context: primary diet: Invertebrate; habitat: Wetland; nest site: ground; nest structure: platform,0.13,Bird_Diet_AvianDiet evidence table,"Tietje, W.D. and J.G. Teer. 1996. Winter feeding ecology of northern shovelers on freshwater and saline wetlands in south Texas. Journal of Wildlife Management 60:843-855.",
BIRDPLT0017,Spatula clypeata,Northern Shoveler,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,vegetation,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas | season: multiple | bird context: primary diet: Invertebrate; habitat: Wetland; nest site: ground; nest structure: platform,0.2,Bird_Diet_AvianDiet evidence table,"Tietje, W.D. and J.G. Teer. 1996. Winter feeding ecology of northern shovelers on freshwater and saline wetlands in south Texas. Journal of Wildlife Management 60:843-855.",
BIRDPLT0018,Aythya americana,Redhead,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,root,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: Texas | place: Laguna Madre | season: winter | bird context: primary diet: Omnivore; habitat: Wetland; nest site: ground, non-tree vegetation; nest structure: platform",0.2,Bird_Diet_AvianDiet evidence table,"McMahan, C.A. 1970. Food habits of ducks wintering on Laguna Madre, Texas. Journal of Wildlife Management 34:946-949.",
BIRDPLT0018,Spatula clypeata,Northern Shoveler,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,vegetation,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas | season: multiple | bird context: primary diet: Invertebrate; habitat: Wetland; nest site: ground; nest structure: platform,0.2,Bird_Diet_AvianDiet evidence table,"Tietje, W.D. and J.G. Teer. 1996. Winter feeding ecology of northern shovelers on freshwater and saline wetlands in south Texas. Journal of Wildlife Management 60:843-855.",
BIRDPLT0018,Spatula clypeata,Northern Shoveler,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,seed,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas | season: multiple | bird context: primary diet: Invertebrate; habitat: Wetland; nest site: ground; nest structure: platform,0.2,Bird_Diet_AvianDiet evidence table,"Tietje, W.D. and J.G. Teer. 1996. Winter feeding ecology of northern shovelers on freshwater and saline wetlands in south Texas. Journal of Wildlife Management 60:843-855.",
BIRDPLT0019,Spatula discors,Blue-winged Teal,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,seed,,Food,E - background trait/context only; not strong local evidence,local tier: E_texas_region_only_no_county | region: Texas | place: Panhandle | season: fall | bird context: primary diet: Omnivore; habitat: Wetland; nest site: ground; nest structure: platform,0.2,Bird_Diet_AvianDiet evidence table,"Sell, D.L. 1979. Fall foods of teal on the Texas High Plains. Southwestern Naturalist 24:373-375.",
BIRDPLT0020,Aythya americana,Redhead,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,root,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: Texas | place: Laguna Madre | season: winter | bird context: primary diet: Omnivore; habitat: Wetland; nest site: ground, non-tree vegetation; nest structure: platform",0.2,Bird_Diet_AvianDiet evidence table,"McMahan, C.A. 1970. Food habits of ducks wintering on Laguna Madre, Texas. Journal of Wildlife Management 34:946-949.",
BIRDPLT0021,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Birds,species,Anatidae,Anseriformes,Bird direct food,Avian Diet plant diet item,seed,,Food,E - background trait/context only; not strong local evidence,"local tier: E_texas_region_only_no_county | region: Texas | place: Lake Corpus Christi | season: multiple | bird context: primary diet: Herbivore; habitat: Wetland; nest site: ground, tree; nest structure: scrape, platform, secondary cavity",0.13,Bird_Diet_AvianDiet evidence table,"Bolen, E.G. and B.J. Forsyth. 1967. Foods of the Black-bellied Tree Duck in south Texas. Wilson Bulletin 79:43-49.",
BIRDPLT0022,Colinus virginianus,Northern Bobwhite,Birds,species,Odontophoridae,Galliformes,Bird direct food,Avian Diet plant diet item,plant food item,,Food,B - regional/direct bird-plant evidence,local tier: B_explicit_county_within_150mi_approx | county: Duval; Brooks | region: Texas | place: Duval County; Brooks County | season: spring | bird context: primary diet: Seed; habitat: Woodland; nest site: ground; nest structure: scrape,0.85,Bird_Diet_AvianDiet evidence table,"Wood, K. N., F. S. Guthery, and N. E. Koerth. 1986. Spring-summer nutrition and condition of northern bobwhites in south Texas. Journal of Wildlife Management 50:84-88.",
