dashboard_row_number,plant_id,plant_scientific_name,plant_common_name,insect_scientific_name,insect_common_name,insect_group,insect_order,insect_family,interaction_category,interaction_raw_term,plant_part,life_stage,use_label,evidence_grade,scope,source_layer,citation_text,source_urls_parsed,doi_parsed,uuid_or_record_id_parsed,first_url,verification_bucket,citation_status,github_action
508,PLT0243,Acer negundo,Box Elder,Contarinia negundinis,,Flower flies & other flies,Diptera,Cecidomyiidae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/116190778 | https://www.inaturalist.org/observations/78231185,https://www.inaturalist.org/observations/116190778 | https://www.inaturalist.org/observations/78231185,,,https://www.inaturalist.org/observations/116190778,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
540,PLT0032,Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Anthrenus verbasci,,Beetles,Coleoptera,Dermestidae,Pollinator / adult flower use,visitsFlowersOf,flower/nectar/pollen,,Food,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/5976014,https://www.inaturalist.org/observations/5976014,,,https://www.inaturalist.org/observations/5976014,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
542,PLT0032,Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Trichiotinus texanus,,Beetles,Coleoptera,Scarabaeidae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/75827074,https://www.inaturalist.org/observations/75827074,,,https://www.inaturalist.org/observations/75827074,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
628,PLT0032,Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Podisus maculiventris,,True bugs,Hemiptera,Pentatomidae,Pollinator / adult flower use,visitsFlowersOf,flower/nectar/pollen,,Food,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/5961131,https://www.inaturalist.org/observations/5961131,,,https://www.inaturalist.org/observations/5961131,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
645,PLT0244,Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Archips rileyana,,Butterflies & moths,Lepidoptera,Tortricidae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/204046444,https://www.inaturalist.org/observations/204046444,,,https://www.inaturalist.org/observations/204046444,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
742,PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Acronicta americana,,Butterflies & moths,Lepidoptera,Noctuidae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/206978571 | https://www.inaturalist.org/observations/213503861,https://www.inaturalist.org/observations/206978571 | https://www.inaturalist.org/observations/213503861,,,https://www.inaturalist.org/observations/206978571,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
749,PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Archips rileyana,,Butterflies & moths,Lepidoptera,Tortricidae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/152882477 | https://www.inaturalist.org/observations/152986952 | https://www.inaturalist.org/observations/204046444 | https://www.inaturalist.org/observations/204726246 | https://www.inaturalist.org/observations/205797231,https://www.inaturalist.org/observations/152882477 | https://www.inaturalist.org/observations/152986952 | https://www.inaturalist.org/observations/204046444 | https://www.inaturalist.org/observations/204726246 | https://www.inaturalist.org/observations/205797231,,,https://www.inaturalist.org/observations/152882477,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
756,PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Coelodasys unicornis,,Butterflies & moths,Lepidoptera,Notodontidae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/151005730,https://www.inaturalist.org/observations/151005730,,,https://www.inaturalist.org/observations/151005730,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
759,PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Dryocampa kendalli,,Butterflies & moths,Lepidoptera,Saturniidae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/206866927,https://www.inaturalist.org/observations/206866927,,,https://www.inaturalist.org/observations/206866927,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
760,PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Dryocampa kendalli,,Butterflies & moths,Lepidoptera,Saturniidae,Pollinator / adult flower use,visits,flower/nectar/pollen,,Food,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/209891900,https://www.inaturalist.org/observations/209891900,,,https://www.inaturalist.org/observations/209891900,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
765,PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Ennomos subsignaria,,Butterflies & moths,Lepidoptera,Geometridae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/205948605,https://www.inaturalist.org/observations/205948605,,,https://www.inaturalist.org/observations/205948605,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
776,PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Nematocampa resistaria,,Butterflies & moths,Lepidoptera,Geometridae,Insect host / plant tissue use,hasHost,host plant tissue,,Host nursery / food plant,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/207259647,https://www.inaturalist.org/observations/207259647,,,https://www.inaturalist.org/observations/207259647,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
813,PLT0175,Ageratina havanensis,"Shrubby Boneset, White Mistflower, White Shrub Mistflower, Havana Snakeroot",Anthanassa texana,,Butterflies & moths,Lepidoptera,Nymphalidae,Pollinator / adult flower use,visitsFlowersOf,flower/nectar/pollen,,Food,B - regional source-backed,,Hays County Insect simplified.csv,https://www.inaturalist.org/observations/462425,https://www.inaturalist.org/observations/462425,,,https://www.inaturalist.org/observations/462425,1_clickable_iNaturalist_observation,row-level clickable source present,keep row; citation retained in this table
