dashboard_row_number,plant_id,plant_scientific_name,plant_common_name,insect_scientific_name,insect_common_name,insect_group,insect_order,insect_family,interaction_category,interaction_raw_term,plant_part,life_stage,use_label,evidence_grade,scope,source_layer,citation_text,source_urls_parsed,doi_parsed,uuid_or_record_id_parsed,first_url,verification_bucket,citation_status,github_action
1846,PLT0048,Berlandiera lyrata,"Chocolate Daisy, Chocolate Flower, Lyreleaf Greeneyes, Green-eyed Lyre Leaf",Protandrena albitarsis,,Native bees,Hymenoptera,Andrenidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Manheim,Hays County Insect simplified.csv,341f59aa-1ed6-11e3-bfac-90b11c41863e,,,341f59aa-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
3455,PLT0311,Colubrina texensis,Texas Hog Plum,Chrysis wasbaueri,,Wasps & ants,Hymenoptera,Chrysididae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Fort Sam Houston,Hays County Insect simplified.csv,urn:catalog:CAS:TYPE:11329,,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
4221,PLT0076,Engelmannia peristenia,"Engelmann's Daisy, Engelmann Daisy, Cutleaf Daisy",Bombus pensylvanicus,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Eldorado,Hays County Insect simplified.csv,34bd9d85-1ed6-11e3-bfac-90b11c41863e,,,34bd9d85-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
5167,PLT0094,Helenium autumnale,"Common Sneezeweed, Fall Sneezeweed, Autumn Sneezeweed",Nomia nortoni,,Native bees,Hymenoptera,Halictidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Johnson City,Hays County Insect simplified.csv,1c2207a3-1ed6-11e3-bfac-90b11c41863e | 1eedb70b-1ed6-11e3-bfac-90b11c41863e | 41d19eec-1ed6-11e3-bfac-90b11c41863e,,,1c2207a3-1ed6-11e3-bfac-90b11c41863e | 1eedb70b-1ed6-11e3-bfac-90b11c41863e | 41d19eec-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
7698,PLT0199,Mimosa borealis,"Fragrant Mimosa, Pink Mimosa",Lasioglossum bardum,,Native bees,Hymenoptera,Halictidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Harper,Hays County Insect simplified.csv,383afe5e-1ed6-11e3-bfac-90b11c41863e | 3f916e78-1ed6-11e3-bfac-90b11c41863e,,,383afe5e-1ed6-11e3-bfac-90b11c41863e | 3f916e78-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
7699,PLT0199,Mimosa borealis,"Fragrant Mimosa, Pink Mimosa",Melissodes communis,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Sonora,Hays County Insect simplified.csv,1d763abb-1ed6-11e3-bfac-90b11c41863e | 1f24f5d3-1ed6-11e3-bfac-90b11c41863e | 3f911faf-1ed6-11e3-bfac-90b11c41863e,,,1d763abb-1ed6-11e3-bfac-90b11c41863e | 1f24f5d3-1ed6-11e3-bfac-90b11c41863e | 3f911faf-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
7754,PLT0200,Mimosa texana,Texas Mimosa,Melissodes communis,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Sonora,Hays County Insect simplified.csv,1d763abb-1ed6-11e3-bfac-90b11c41863e | 1f24f5d3-1ed6-11e3-bfac-90b11c41863e | 3f911faf-1ed6-11e3-bfac-90b11c41863e,,,1d763abb-1ed6-11e3-bfac-90b11c41863e | 1f24f5d3-1ed6-11e3-bfac-90b11c41863e | 3f911faf-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
7868,PLT0109,Monarda citriodora,"Lemon Beebalm, Purple Horsemint, Lemon Mint, Plains Horsemint, Lemon Horsemint, Horsemint, Purple Lemon Mint",Megachile frugalis,,Native bees,Hymenoptera,Megachilidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Devils River,Hays County Insect simplified.csv,"Digital Bee Collections Network, 2014 (and updates). Version: 2016-03-08. National Science Foundation grant DBI 0956388",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
8572,PLT0238,Opuntia engelmannii,Prickly Pear 'Englemann's',Melissodes communis,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Bastrop,Hays County Insect simplified.csv,3d855ee1-1ed6-11e3-bfac-90b11c41863e,,,3d855ee1-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
8583,PLT0238,Opuntia engelmannii,Prickly Pear 'Englemann's',Perdita texana,,Native bees,Hymenoptera,Andrenidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Bastrop,Hays County Insect simplified.csv,17b90623-1ed6-11e3-bfac-90b11c41863e | 1a0ea6e1-1ed6-11e3-bfac-90b11c41863e | 1c92e4d0-1ed6-11e3-bfac-90b11c41863e | 40965c74-1ed6-11e3-bfac-90b11c41863e,,,17b90623-1ed6-11e3-bfac-90b11c41863e | 1a0ea6e1-1ed6-11e3-bfac-90b11c41863e | 1c92e4d0-1ed6-11e3-bfac-90b11c41863e | 40965c74-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
