plant_id,old_uniform_audubon_rows,exact_audubon_rows,name,common,claims,guildClaims,bird,ecological,balanced,row_delta
CAND0929,15,0,Celtis laevigata var. laevigata,,0,0,0.0,0.0,6.8,-15
CAND0930,15,0,Celtis laevigata var. reticulata,,0,0,0.0,0.0,6.8,-15
CAND2073,15,14,Helianthus annuus,,123,19,33.9,46.9,53.7,-1
CAND2525,15,7,Liatris punctata,,13,7,9.0,9.1,19.8,-8
CAND3254,15,10,Phytolacca americana,,14,10,12.0,9.4,18.2,-5
CAND3765,15,14,Quercus shumardii,,29,16,17.8,15.6,24.2,-1
CAND3813,15,0,Redbud,,0,0,0.0,0.0,6.8,-15
CAND3956,15,0,Rudbeckia hirta var. pulcherrima,,6,0,0.0,6.0,15.6,-15
CAND4654,15,0,Tilia americana var. caroliniana,,0,0,0.0,0.0,6.8,-15
CAND5003,15,7,Ziziphus obtusifolia,,10,10,12.1,4.7,12.5,-8
PLT0007,15,7,Aristida purpurea,"Purple Threeawn, Purple 3-awn, Purple Three-awn, Red Threeawn",14,8,12.1,15.1,32.1,-8
PLT0009,15,7,Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",44,7,9.0,22.4,40.6,-8
PLT0013,15,7,Chasmanthium latifolium,"Inland Sea Oats, Indian Wood Oats, Wild Oats, River Oats, Flathead Oats, Upland Oats, Upland Sea Oats",17,7,9.0,15.8,33.1,-8
PLT0024,15,7,Panicum virgatum,"Switchgrass, Wand Panic Grass",45,8,13.4,24.7,44.8,-8
PLT0026,15,14,Schizachyrium scoparium,"Little Bluestem, Popotillo Azul",33,15,17.8,22.0,41.1,-1
PLT0028,15,7,Sorghastrum nutans,"Indiangrass, Yellow Indiangrass, Indian Grass",20,8,12.1,17.0,35.6,-8
PLT0032,15,11,Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",38,12,12.9,30.9,48.6,-4
PLT0045,15,15,Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",66,16,16.2,35.7,52.9,0
PLT0046,15,6,Asclepias viridis,"Green Milkweed, Spider Milkweed",70,6,7.9,35.4,53.7,-9
PLT0085,15,6,Gaillardia pulchella,"Indian Blanket, Firewheel, Girasol Rojo",95,8,7.9,40.2,59.5,-9
PLT0095,15,14,Helianthus maximiliani,"Maximilian Sunflower, Max Sunflower",178,18,17.8,49.2,69.4,-1
PLT0099,15,7,Ipomopsis rubra,"Standing Cypress, Texas Plume, Red Texas Star, Red Gilia",12,8,12.1,13.6,32.2,-8
PLT0103,15,14,Lobelia cardinalis,Cardinal Flower,26,15,17.8,20.3,39.9,-1
PLT0109,15,14,Monarda citriodora,"Lemon Beebalm, Purple Horsemint, Lemon Mint, Plains Horsemint, Lemon Horsemint, Horsemint, Purple Lemon Mint",80,17,15.4,38.2,59.2,-1
PLT0111,15,13,Monarda punctata,Spotted Beebalm,52,13,14.6,35.1,54.0,-2
PLT0132,15,12,Ratibida columnifera,"Mexican Hat, Red-spike Mexican Hat, Upright Prairie Coneflower, Prairie Coneflower, Long-headed Coneflower, Thimbleflower",84,19,16.3,38.4,56.8,-3
PLT0139,15,7,Salvia azurea,"Pitcher Sage, Blue Sage",59,8,9.0,33.8,54.3,-8
PLT0140,15,7,Salvia coccinea,"Scarlet Sage, Tropical Sage, Blood Sage, Red Sage, Indian Fire",86,10,12.1,39.5,58.2,-8
PLT0155,15,14,Solidago nemoralis,"Gray Goldenrod, Prairie Goldenrod, Oldfield Goldenrod, Grayleaf Goldenrod, Gray-leaved Goldenrod, Dyersweed Goldenrod, Dwarf Goldenrod, Field Goldenrod",179,18,15.4,47.9,67.1,-1
PLT0176,15,6,Aloysia gratissima,"Whitebrush, Bee-brush, White-brush, Common Bee-brush, Beebrush, Privet Lippia",12,7,11.1,15.3,33.7,-9
PLT0182,15,13,Callicarpa americana,"American Beautyberry , French Mulberry",23,13,14.6,16.2,34.6,-2
PLT0184,15,14,Cephalanthus occidentalis,"Common Buttonbush, Buttonbush, Button Willow, Honey Bells, Honeybells, Honey Balls, Honeyballs, Button-bush",89,18,17.8,38.7,58.9,-1
PLT0193,15,6,Lantana urticoides,"Texas Lantana, Calico Bush",98,7,7.9,38.2,57.0,-9
PLT0195,15,13,Lindera benzoin,"Northern Spicebush, Spicebush, Wild Allspice",35,13,14.6,24.2,42.5,-2
PLT0203,15,13,Rhus aromatica,"Fragrant Sumac, Aromatic Sumac, Lemon Sumac, Polecat Bush",105,15,14.6,41.0,61.2,-2
PLT0208,15,8,Tecoma stans,Yellow Bells,30,12,13.0,27.7,45.9,-7
PLT0211,15,13,Cornus drummondii,"Roughleaf Dogwood, Drummond's Dogwood, Rough-leaf Dogwood",138,14,17.0,41.9,61.7,-2
PLT0213,15,13,Ilex decidua,"Possumhaw, Possumhaw Holly, Deciduous Holly, Meadow Holly, Prairie Holly, Swamp Holly, Welk Holly, Deciduous Yaupon, Bearberry, Winterberry",77,15,17.0,29.1,51.9,-2
PLT0214,15,13,Ilex vomitoria,"Yaupon, Yaupon Holly, Cassina",91,15,41.0,35.3,57.6,-2
PLT0222,15,13,Viburnum rufidulum,"Rusty Blackhaw Viburnum, Rusty Blackhaw, Southern Blackhaw, Blackhaw, Bluehaw, Downy Viburnum, Southern Nannyberry, Rusty Nannyberry, Nannyberry",106,17,17.0,31.0,53.5,-2
PLT0243,15,14,Acer negundo,Box Elder,251,14,15.4,40.1,61.9,-1
PLT0245,15,14,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",67,19,17.8,29.5,50.8,-1
PLT0247,15,14,Carya illinoinensis,Pecan,332,15,15.4,53.1,76.4,-1
PLT0261,15,14,Juniperus virginiana,"Eastern Red Cedar, Eastern Redcedar, Virginia Juniper, Red Juniper, Pencil Cedar, Carolina Cedar, Red Savin",138,21,15.5,43.4,65.7,-1
PLT0265,15,13,Morus rubra,"Red Mulberry, Moral",42,15,17.0,32.8,51.1,-2
PLT0267,15,14,Platanus occidentalis,"American Sycamore, Eastern Sycamore, American Plane Tree, Plane Tree, Buttonwood, Buttonball Tree",78,15,15.4,33.8,55.6,-1
PLT0271,15,13,Prunus serotina,"Black Cherry, Wild Black Cherry, Rum Cherry",381,13,16.8,47.5,70.7,-2
PLT0275,15,14,Quercus fusiformis,"Escarpment Live Oak, Plateau Live Oak, Hill Country Live Oak, Texas Live Oak, Scrub Live Oak, Plateau Oak, Encino Molino, Tesmoli",777,18,15.5,60.0,83.3,-1
PLT0277,15,14,Quercus macrocarpa,"Bur Oak, Burr Oak, Savanna Oak, Overcup Oak, Prairie Oak, Mossy-cup Oak, Mossy-overcup Oak, Blue Oak",796,20,17.9,59.2,82.4,-1
PLT0280,15,14,Quercus virginiana,"Coastal Live Oak, Southern Live Oak, Virginia Live Oak, Live Oak, Encino",969,21,27.8,74.3,96.6,-1
PLT0283,15,13,Salix nigra,"Black Willow, Gulf Black Willow, Swamp Willow, Sauz",411,20,14.6,57.9,78.9,-2
PLT0287,15,14,Taxodium distichum,"Bald Cypress, Baldcypress, Common Bald Cypress, Southern Bald Cypress, Deciduous Cypress, Southern Cypress, Swamp Cypress, Red Cypress, White Cypress, Yellow Cypress, Gulf Cypress, Tidewater Red Cypress",70,15,29.1,36.9,58.9,-1
PLT0288,15,14,Tilia americana,"American Basswood, American Linden, Lime Tree, Bee Tree",152,14,15.4,39.9,59.6,-1
PLT0289,15,14,Ulmus americana,"American Elm, White Elm, Soft Elm, Water Elm, Common Elm",225,16,18.1,44.5,66.0,-1
PLT0290,15,14,Ulmus crassifolia,"Cedar Elm, Fall Elm, Basket Elm, Scrub Elm, Lime Elm, Texas Elm, Southern Rock Elm, Olmo",463,18,43.2,68.2,89.6,-1
PLT0294,15,6,Clematis drummondii,Old Man's Beard,50,7,11.1,32.0,52.0,-9
PLT0301,15,14,Lonicera sempervirens,"Coral Honeysuckle, Trumpet Honeysuckle, Woodbine",58,15,17.8,26.3,47.4,-1
AUD0001,0,7,Muhlenbergia capillaris,Hairawn Muhly,7,7,9.0,2.4,13.4,7
AUD0002,0,6,Silphium asteriscus,Starry Rosinweed,6,6,7.9,2.2,12.9,6
AUD0003,0,13,Asclepias verticillata,Whorled Milkweed,13,13,14.6,3.5,15.8,13
CAND0412,0,6,Artemisia ludoviciana,,10,6,7.9,7.9,15.7,6
CAND0928,0,13,Celtis laevigata,,136,13,20.7,40.3,50.4,13
CAND0934,0,13,Celtis reticulata,,45,13,14.6,19.0,27.7,13
CAND0962,0,15,Cercis canadensis,,48,15,22.9,30.7,42.6,15
CAND1387,0,6,Dalea candida,,7,6,7.9,4.6,12.9,6
CAND2099,0,13,Helianthus occidentalis,,19,13,14.6,12.2,23.3,13
CAND2282,0,13,Ilex opaca,,19,13,14.6,14.2,21.8,13
CAND4234,0,7,Setaria macrostachya,,10,7,9.0,8.5,19.4,7
CAND4360,0,14,Solidago speciosa,,16,14,15.4,7.5,15.5,14
CAND4797,0,13,Vaccinium arboreum,,16,13,14.6,10.8,21.0,13
PLT0031,0,7,Tripsacum dactyloides,"Eastern Gamagrass, Fakahatchee Grass",26,8,12.1,22.9,46.0,7
PLT0037,0,7,Aquilegia canadensis,"Eastern Red Columbine, Wild Red Columbine",18,8,12.1,17.9,36.6,7
PLT0110,0,14,Monarda fistulosa,Wild Bergamot,38,14,15.4,28.5,48.5,14
PLT0134,0,13,Rudbeckia hirta,"Black-eyed Susan, Common Black-eyed Susan, Brown-eyed Susan, Blackeyed Susan",77,16,14.6,39.7,59.7,13
PLT0183,0,13,Celtis ehrenbergiana,Desert (Spiny) Hackberry,162,16,14.6,41.0,63.5,13
PLT0188,0,9,Erythrina herbacea,Coral Bean,23,9,11.0,19.2,36.1,9
PLT0204,0,13,Rhus microphylla,Littleleaf Sumac,101,13,14.6,37.6,58.2,13
