plant_common_name,plant_scientific_name,plant_type,audubon_attributes_original,audubon_attributes_normalized,audubon_bird_groups_original,audubon_bird_group_count,audubon_resource_count,description,source_url_or_citation,evidence_source,audit_flags,matched_dashboard_id
American Basswood,Tilia americana,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Also known as American Linden and Bee Tree, this perennial, deciduous tree grows 60 to 80 feet tall, sometimes even taller. This tree has a long trunk and wide-spreading branches that form a dense crown, and its inconspicuous but aromatic, yellow flowers frequently attract bees. It grows in full sun to shade, in dry to moist soils, preferring moist, well-drained, loam soils.",https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666,National Audubon Society Native Plants,,PLT0288
American Beauty-Berry,Callicarpa americana,Shrubs,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"American Beauty-Berry, or French Mulberry, is a showy, deciduous shrub that grows to a height and width of 3 to 5 feet with long branches that bear yellow-green foliage and small, pink flowers. Beauty-Berry's most distinctive feature is its round clusters of bright, glossy purple fruit at leaf axils that grow during the fall and winter. This plant provides an important food source for wildlife, growing in partial shade and moist, rich soils.",https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666,National Audubon Society Native Plants,,PLT0182
American Elm,Ulmus americana,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Also going by the names White Elm, Soft Elm, Water Elm, or Common Elm, this medium to large deciduous tree typically grows 60 to 80 feet tall with a vase-shaped, broad-rounded crown. This handsome tree serves as a larval host for a number of butterfly species, and both its seeds and leaf buds are eaten by birds. It thrives in full sun to partial shade, and in moist, fertile soils. Once a very common American forest and street tree admired for its stately habit, the vast majority of American Elms were devastated by the introduction of Dutch elm disease in the 1930s. Ask your nursery about disease-resistant American Elm varieties.",https://www.audubon.org/native-plants/species/american-elm?zipcode=78666,National Audubon Society Native Plants,,PLT0289
American Holly,Ilex opaca,"Evergreen, Shrubs, Trees",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Common names for this plant also include White, Prickly, or Christmas Holly. It is an upright, pyramidal, evergreen tree that slowly matures to a height of 30 feet, sometimes even 60 feet in warmer areas. It is the only native U.S. holly with spiny green leaves and bright red berries. These fruits are poisonous to humans but enjoyed by many bird and mammal species. American Holly can grow in full sun to shade, and in moist, well-drained, sandy and loamy soils.",https://www.audubon.org/native-plants/species/american-holly?zipcode=78666,National Audubon Society Native Plants,,CAND2282
American Pokeweed,Phytolacca americana,Annuals/Per.,Fruit; Nuts,fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Thrushes; Waxwings; Woodpeckers",10,2,"Other common names for this tall, branching, herbaceous perennial include Pokeberry, Red Ink Plant, and Pigeonberry. This plant grows 4 to 10 feet tall in partial shade and moist soil, with reddish stems and long clusters of small, white flowers that produce drooping purple/black berries in late summer to fall. Pokeweed is native to the eastern portion of the U.S., and though it provides an important food source for birds during fall migration, all parts of this plant are highly toxic to humans if eaten.",https://www.audubon.org/native-plants/species/american-pokeweed?zipcode=78666,National Audubon Society Native Plants,,CAND3254
American Sycamore,Platanus occidentalis,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"This plant also goes by Eastern Sycamore, American Plane Tree, Buttonwood, and Buttonball Tree. A deciduous, perennial tree with a large trunk and wide-reaching canopy, it grows 75 to 100 feet tall and produces large, maple-shaped leaves and globular fruit. It grows in full sun to shade, and in moist, sandy loams or silty clays. This tree is deer resistant and attracts birds especially for shelter.",https://www.audubon.org/native-plants/species/american-sycamore?zipcode=78666,National Audubon Society Native Plants,,PLT0267
Ash-Leaf Maple,Acer negundo,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"This fast-growing and fairly short-lived perennial tree, also known as Box Elder, reaches 80 feet in height. It often has several trunks and can form thickets that grow greenish yellow leaves with a March to April bloom time. This tree grows in full sun, in medium to wet soil, and produces winged seeds that birds and squirrels feed on. It tolerates a variety of soils including dry and clay soil, but is intolerant to shade.",https://www.audubon.org/native-plants/species/ash-leaf-maple?zipcode=78666,National Audubon Society Native Plants,,PLT0243
Azure-Blue Sage,Salvia azurea,Annuals/Per.,Nectar,nectar,Hummingbirds; Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,7,1,"Also called Pitcher Sage and Giant Blue Sage, this is a clump-forming perennial that typically grows 3 to 5 feet tall. It produces stiff stems which spout whorls of two-lipped, azure blue flowers in spikes from mid-summer to fall attracting bees and hummingbirds. Azure-Blue Sage grows best in partial shade and in a variety of dry soils, including sandy, loamy, clayey, and limestone-based soils.",https://www.audubon.org/native-plants/species/azure-blue-sage?zipcode=78666,National Audubon Society Native Plants,,PLT0139
Black Cherry,Prunus serotina,Trees,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"This deciduous, perennial tree reaches 60 to 100 feet in height and 1 to 4 feet in diameter with a long trunk and oblong crown. It produces small, white flowers in the spring and purple to black fruit in the summer eaten by birds and many mammals. It grows in moist, well-drained soils, in full sun to partial shade.",https://www.audubon.org/native-plants/species/black-cherry?zipcode=78666,National Audubon Society Native Plants,,PLT0271
Black Willow,Salix nigra,Trees,Butterflies; Caterpillars,butterflies; caterpillars,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,2,"Also known as Gulf Black Willow or Swamp Willow, this fast-growing, deciduous tree grows 30 to 60 feet tall on single or multiple trunks topped by a spreading, rounded, sometimes irregular crown. Its fall color is variable, normally greenish-yellow. This tree can grow in full sun to partial shade, in moist to wet soils, and is flood and silt resistant. Its dark brown/black bark is soft and often food for deer, rabbits, beavers, and other such browsers. Black Willow is also a larval host to a number of butterfly and moth species.",https://www.audubon.org/native-plants/species/black-willow?zipcode=78666,National Audubon Society Native Plants,,PLT0283
