plant_scientific_name,plant_common_name,audubon_bird_group_count,audubon_resource_count,audit_flags,source_url_or_citation
Tilia americana,American Basswood,14,4,,https://www.audubon.org/native-plants/species/american-basswood?zipcode=78666
Callicarpa americana,American Beauty-Berry,13,3,,https://www.audubon.org/native-plants/species/american-beauty-berry?zipcode=78666
Ulmus americana,American Elm,14,4,,https://www.audubon.org/native-plants/species/american-elm?zipcode=78666
Ilex opaca,American Holly,13,3,,https://www.audubon.org/native-plants/species/american-holly?zipcode=78666
Phytolacca americana,American Pokeweed,10,2,,https://www.audubon.org/native-plants/species/american-pokeweed?zipcode=78666
Platanus occidentalis,American Sycamore,14,4,,https://www.audubon.org/native-plants/species/american-sycamore?zipcode=78666
Acer negundo,Ash-Leaf Maple,14,4,,https://www.audubon.org/native-plants/species/ash-leaf-maple?zipcode=78666
Salvia azurea,Azure-Blue Sage,7,1,,https://www.audubon.org/native-plants/species/azure-blue-sage?zipcode=78666
Prunus serotina,Black Cherry,13,3,,https://www.audubon.org/native-plants/species/black-cherry?zipcode=78666
Salix nigra,Black Willow,13,2,,https://www.audubon.org/native-plants/species/black-willow?zipcode=78666
Rudbeckia hirta,Black-Eyed-Susan,13,2,,https://www.audubon.org/native-plants/species/black-eyed-susan?zipcode=78666
Salvia coccinea,Blood Sage,7,1,,https://www.audubon.org/native-plants/species/blood-sage?zipcode=78666
Quercus macrocarpa,Burr Oak,14,4,,https://www.audubon.org/native-plants/species/burr-oak?zipcode=78666
Asclepias tuberosa,Butterfly Milkweed,15,5,,https://www.audubon.org/native-plants/species/butterfly-milkweed?zipcode=78666
Lobelia cardinalis,Cardinal-Flower,14,3,,https://www.audubon.org/native-plants/species/cardinal-flower?zipcode=78666
Ulmus crassifolia,Cedar Elm,14,4,,https://www.audubon.org/native-plants/species/cedar-elm?zipcode=78666
Cephalanthus occidentalis,Common Buttonbush,14,4,,https://www.audubon.org/native-plants/species/common-buttonbush?zipcode=78666
Helianthus annuus,Common Sunflower,14,4,,https://www.audubon.org/native-plants/species/common-sunflower?zipcode=78666
Achillea millefolium,Common Yarrow,11,2,,https://www.audubon.org/native-plants/species/common-yarrow?zipcode=78666
Ilex decidua,Deciduous Holly,13,3,,https://www.audubon.org/native-plants/species/deciduous-holly?zipcode=78666
Liatris punctata,Dotted Gayfeather,7,1,,https://www.audubon.org/native-plants/species/dotted-gayfeather?zipcode=78666
Tripsacum dactyloides,Eastern Mock Grama,7,3,,https://www.audubon.org/native-plants/species/eastern-mock-grama?zipcode=78666
Juniperus virginiana,Eastern Red-Cedar,14,4,,https://www.audubon.org/native-plants/species/eastern-red-cedar?zipcode=78666
Helianthus occidentalis,Few-Leaf Sunflower,13,2,,https://www.audubon.org/native-plants/species/few-leaf-sunflower?zipcode=78666
Gaillardia pulchella,Firewheel,6,0,missing_attributes,https://www.audubon.org/native-plants/species/firewheel?zipcode=78666
Rhus aromatica,Fragrant Sumac,13,3,,https://www.audubon.org/native-plants/species/fragrant-sumac?zipcode=78666
Solidago nemoralis,Gray Goldenrod,14,4,,https://www.audubon.org/native-plants/species/gray-goldenrod?zipcode=78666
Asclepias viridis,Green Antelope-Horn,6,0,missing_attributes,https://www.audubon.org/native-plants/species/green-antelope-horn?zipcode=78666
Muhlenbergia capillaris,Hairawn Muhly,7,1,,https://www.audubon.org/native-plants/species/hairawn-muhly?zipcode=78666
Chasmanthium latifolium,Indian Wood-Oats,7,3,,https://www.audubon.org/native-plants/species/indian-wood-oats?zipcode=78666
Setaria macrostachya,Large Spike Bristlegrass,7,1,,https://www.audubon.org/native-plants/species/large-spike-bristlegrass?zipcode=78666
Monarda citriodora,Lemon Beebalm,14,3,,https://www.audubon.org/native-plants/species/lemon-beebalm?zipcode=78666
Schizachyrium scoparium,Little False Bluestem,14,3,,https://www.audubon.org/native-plants/species/little-false-bluestem?zipcode=78666
Rhus microphylla,Little-Leaf Sumac,13,3,,https://www.audubon.org/native-plants/species/little-leaf-sumac?zipcode=78666
Quercus virginiana,Live Oak,14,4,,https://www.audubon.org/native-plants/species/live-oak?zipcode=78666
Ziziphus obtusifolia,Lotebush,7,2,,https://www.audubon.org/native-plants/species/lotebush?zipcode=78666
Helianthus maximiliani,Maximilian Sunflower,14,4,,https://www.audubon.org/native-plants/species/maximilian-sunflower?zipcode=78666
Celtis reticulata,Net-Leaf Hackberry,13,3,,https://www.audubon.org/native-plants/species/net-leaf-hackberry?zipcode=78666
Lindera benzoin,Northern Spicebush,13,3,,https://www.audubon.org/native-plants/species/northern-spicebush?zipcode=78666
Clematis drummondii,Old Man's Beard,6,0,missing_attributes,https://www.audubon.org/native-plants/species/old-mans-beard?zipcode=78666
Monarda fistulosa,Oswego-Tea,14,3,,https://www.audubon.org/native-plants/species/oswego-tea?zipcode=78666
Carya illinoinensis,Pecan,14,4,,https://www.audubon.org/native-plants/species/pecan?zipcode=78666
Quercus fusiformis,Plateau Oak,14,4,,https://www.audubon.org/native-plants/species/plateau-oak?zipcode=78666
Aristida purpurea,Purple Three Awn,7,1,,https://www.audubon.org/native-plants/species/purple-three-awn?zipcode=78666
Aesculus pavia,Red Buckeye,14,3,,https://www.audubon.org/native-plants/species/red-buckeye?zipcode=78666
Aquilegia canadensis,Red Columbine,7,1,,https://www.audubon.org/native-plants/species/red-columbine?zipcode=78666
Morus rubra,Red Mulberry,13,3,,https://www.audubon.org/native-plants/species/red-mulberry?zipcode=78666
Erythrina herbacea,Red-Cardinal,9,1,,https://www.audubon.org/native-plants/species/red-cardinal?zipcode=78666
Ratibida columnifera,Red-Spike Mexican-Hat,12,1,,https://www.audubon.org/native-plants/species/red-spike-mexican-hat?zipcode=78666
Cercis canadensis,Redbud,15,5,,https://www.audubon.org/native-plants/species/redbud?zipcode=78666
Cornus drummondii,Rough-Leaf Dogwood,13,3,,https://www.audubon.org/native-plants/species/rough-leaf-dogwood?zipcode=78666
Viburnum rufidulum,Rusty Blackhaw,13,3,,https://www.audubon.org/native-plants/species/rusty-blackhaw?zipcode=78666
Celtis ehrenbergiana,Shiny Hackberry,13,3,,https://www.audubon.org/native-plants/species/shiny-hackberry?zipcode=78666
Solidago speciosa,Showy Goldenrod,14,4,,https://www.audubon.org/native-plants/species/showy-goldenrod?zipcode=78666
Quercus shumardii,Shumard's Oak,14,4,,https://www.audubon.org/native-plants/species/shumards-oak?zipcode=78666
Bouteloua curtipendula,Side-Oats Grama,7,3,,https://www.audubon.org/native-plants/species/side-oats-grama?zipcode=78666
Taxodium distichum,Southern Bald-Cypress,14,3,,https://www.audubon.org/native-plants/species/southern-bald-cypress?zipcode=78666
Monarda punctata,Spotted Beebalm,13,2,,https://www.audubon.org/native-plants/species/spotted-beebalm?zipcode=78666
Ipomopsis rubra,Standing-Cypress,7,1,,https://www.audubon.org/native-plants/species/standing-cypress?zipcode=78666
Silphium asteriscus,Starry Rosinweed,6,0,missing_attributes,https://www.audubon.org/native-plants/species/starry-rosinweed?zipcode=78666
Celtis laevigata,Sugar-Berry,13,3,,https://www.audubon.org/native-plants/species/sugar-berry?zipcode=78666
Vaccinium arboreum,Tree Sparkle-Berry,13,3,,https://www.audubon.org/native-plants/species/tree-sparkle-berry?zipcode=78666
Lonicera sempervirens,Trumpet Honeysuckle,14,4,,https://www.audubon.org/native-plants/species/trumpet-honeysuckle?zipcode=78666
Panicum virgatum,Wand Panic Grass,7,1,,https://www.audubon.org/native-plants/species/wand-panic-grass?zipcode=78666
Lantana urticoides,West Indian Shrub-Verbena,6,0,missing_attributes,https://www.audubon.org/native-plants/species/west-indian-shrub-verbena?zipcode=78666
Dalea candida,White Prairie-Clover,6,0,missing_attributes,https://www.audubon.org/native-plants/species/white-prairie-clover?zipcode=78666
Artemisia ludoviciana,White Sagebrush,6,2,,https://www.audubon.org/native-plants/species/white-sagebrush?zipcode=78666
Aloysia gratissima,Whitebrush,6,0,missing_attributes,https://www.audubon.org/native-plants/species/whitebrush?zipcode=78666
Asclepias verticillata,Whorled Milkweed,13,2,,https://www.audubon.org/native-plants/species/whorled-milkweed?zipcode=78666
Ilex vomitoria,Yaupon,13,3,,https://www.audubon.org/native-plants/species/yaupon?zipcode=78666
Sorghastrum nutans,Yellow Indian Grass,7,1,,https://www.audubon.org/native-plants/species/yellow-indian-grass?zipcode=78666
Tecoma stans,Yellow Trumpetbush,8,0,missing_attributes,https://www.audubon.org/native-plants/species/yellow-trumpetbush?zipcode=78666
