plant_id,old_audubon_crossproduct_rows,new_audubon_profile_rows,old_split_bird_labels,collapsed_bird_family_groups,old_cross_multiplied_resources_not_used_for_direct_claims,fix_note
CAND0929,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND0930,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND2073,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND2525,60,15,Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND3254,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND3765,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND3813,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND3956,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND4654,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
CAND5003,63,15,Buntings; Cardinals; Chickadees; Crows; Finches; Grosbeaks; Hummingbirds; Jays; Mockingbirds; Nuthatches; Orioles; Sparrows; Thrashers; Thrushes; Titmice; Vireos; Warblers; Waxwings; Wood Warblers; Woodpeckers; Wrens,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies and Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; New World Sparrows; Nuthatches; Orioles; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",flower nectar; fruit; seed/grain,"Audubon Native Plants broad May Attract profile. Trusted broad bird-friendly support; not a species-level bird x plant direct-use claim, and plant resources are not cross-multiplied by bird group."
