plant_id,animal,common,group,rank,family,order,category,raw,part,stage,use,evidence,scope,weight,sources,citations,urls
CAND0929,,Wrens,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Jays,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Mockingbirds,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Mockingbirds,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Mockingbirds,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Nuthatches,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Nuthatches,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Waxwings,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Warblers,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Warblers,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Waxwings,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Waxwings,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Jays,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Jays,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Wrens,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Thrushes,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Vireos,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Warblers,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Wood Warblers,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Wood Warblers,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Wood Warblers,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Woodpeckers,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
