interaction_record_id,plant_name,rank,mapped_count,mapped_ids,weight,action
MOT_PLANT_0002,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0003,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0004,Prosopis glandulosa,species,1,CAND3512,0.488,direct_import_species
MOT_PLANT_0005,Prosopis glandulosa,species,1,CAND3512,0.488,direct_import_species
MOT_PLANT_0006,Opuntia engelmannii complex,species_complex,2,PLT0238|CAND3022,0.325,direct_import_species_review
MOT_PLANT_0007,Poaceae,family/functional_group,1,CAND3417,0.104,import_functional_group
MOT_PLANT_0008,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.104,import_functional_group
MOT_PLANT_0009,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0010,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0011,Prosopis glandulosa,species,1,CAND3512,0.562,direct_import_species
MOT_PLANT_0012,Cactaceae / Cylindropuntia spp.,family_genus_group,1,CAND0725,0.165,import_genus_or_group_only
MOT_PLANT_0013,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0014,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0016,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0017,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0018,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0019,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0020,Acer spp.,genus,2,PLT0243|PLT0242,0.27,import_genus_or_review_species
MOT_PLANT_0021,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0022,Diospyros texana / Diospyros virginiana,species_pair,2,PLT0252|PLT0253,0.39,direct_import_species_review
MOT_PLANT_0024,Agave spp.,genus,1,PLT0232,0.234,import_genus_or_review_species
MOT_PLANT_0025,Juniperus ashei / Juniperus spp.,species_or_genus,2,PLT0260|PLT0261,0.315,direct_import_species_review
MOT_PLANT_0026,Prosopis glandulosa,species,1,CAND3512,0.562,direct_import_species
MOT_PLANT_0027,Mahonia trifoliolata,species,3,PLT0197|CAND0579|CAND0162,0.562,direct_import_species
MOT_PLANT_0029,Trifolium spp.,genus,1,CAND4714,0.27,hold_review
MOT_PLANT_0031,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0032,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0033,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0034,Opuntia engelmannii complex,species_complex,2,PLT0238|CAND3022,0.375,direct_import_species_review
MOT_PLANT_0035,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0036,Brassicaceae,family,1,CAND0680,0.105,import_family_group_only
MOT_PLANT_0037,Amaranthaceae,family,1,MAMMALPLT0002,0.105,import_family_group_only
MOT_PLANT_0038,Salix spp.,genus,1,PLT0283,0.27,import_genus_or_review_species
MOT_PLANT_0039,Populus deltoides,species,1,PLT0268,0.562,direct_import_species
MOT_PLANT_0040,Cyperaceae / Carex-Cyperus-Eleocharis spp.,family/genus_group,1,CAND1357,0.165,import_functional_group
MOT_PLANT_0041,Prosopis glandulosa,species,1,CAND3512,0.488,direct_import_species
MOT_PLANT_0042,Salix spp.,genus,1,PLT0283,0.234,import_genus_or_review_species
MOT_PLANT_0043,Chilopsis linearis,species,1,PLT0250,0.488,direct_import_species
MOT_PLANT_0045,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0046,Juniperus ashei / Juniperus spp.,species_or_genus,2,PLT0260|PLT0261,0.315,direct_import_species_review
MOT_PLANT_0047,Juniperus ashei / Juniperus spp.,species_or_genus,2,PLT0260|PLT0261,0.315,direct_import_species_review
MOT_PLANT_0048,Pinus spp.,genus,1,CAND3281,0.27,hold_region_review
MOT_PLANT_0049,Pinus spp.,genus,1,CAND3281,0.27,hold_region_review
MOT_PLANT_0050,Cyperaceae / Carex-Cyperus-Eleocharis spp.,family/genus_group,1,CAND1357,0.165,import_functional_group
MOT_PLANT_0056,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
